ano,nivel,regiao,uf,sigla,capitulo,obitos,intervalo_codigos,descricao
2021,Estado,Região Nordeste,Rio Grande do Norte,RN,Cap I,5902,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Paraíba,PB,Cap I,7293,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Pernambuco,PE,Cap I,15786,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Alagoas,AL,Cap I,5262,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Sergipe,SE,Cap I,4051,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Nordeste,Bahia,BA,Cap I,21194,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Regiao,Região Sudeste,,,Cap I,231051,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sudeste,Minas Gerais,MG,Cap I,50866,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sudeste,Espírito Santo,ES,Cap I,8128,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sudeste,Rio de Janeiro,RJ,Cap I,49188,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sudeste,São Paulo,SP,Cap I,122869,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Regiao,Região Sul,,,Cap I,83068,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sul,Paraná,PR,Cap I,35553,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sul,Santa Catarina,SC,Cap I,16491,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Sul,Rio Grande do Sul,RS,Cap I,31024,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Regiao,Região Centro-Oeste,,,Cap I,44595,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,Cap I,7694,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Centro-Oeste,Mato Grosso,MT,Cap I,10128,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Centro-Oeste,Goiás,GO,Cap I,20301,A00–B99,Algumas doenças infecciosas e parasitárias
2021,Estado,Região Centro-Oeste,Distrito Federal,DF,Cap I,6472,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Regiao,Região Norte,,,Cap I,8984,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Norte,Rondônia,RO,Cap I,1022,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Norte,Acre,AC,Cap I,365,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Norte,Amazonas,AM,Cap I,1927,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Norte,Roraima,RR,Cap I,292,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Norte,Pará,PA,Cap I,4272,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Norte,Amapá,AP,Cap I,350,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Norte,Tocantins,TO,Cap I,756,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Regiao,Região Nordeste,,,Cap I,30808,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Nordeste,Maranhão,MA,Cap I,2736,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Nordeste,Piauí,PI,Cap I,1727,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Nordeste,Ceará,CE,Cap I,5296,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Nordeste,Rio Grande do Norte,RN,Cap I,1904,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Nordeste,Paraíba,PB,Cap I,2687,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Nordeste,Pernambuco,PE,Cap I,5711,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Nordeste,Alagoas,AL,Cap I,1996,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Nordeste,Sergipe,SE,Cap I,989,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Nordeste,Bahia,BA,Cap I,7762,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Regiao,Região Sudeste,,,Cap I,61924,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Sudeste,Minas Gerais,MG,Cap I,14093,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Sudeste,Espírito Santo,ES,Cap I,2157,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Sudeste,Rio de Janeiro,RJ,Cap I,13774,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Sudeste,São Paulo,SP,Cap I,31900,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Regiao,Região Sul,,,Cap I,20132,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Sul,Paraná,PR,Cap I,7192,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Sul,Santa Catarina,SC,Cap I,4124,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Sul,Rio Grande do Sul,RS,Cap I,8816,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Regiao,Região Centro-Oeste,,,Cap I,9952,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,Cap I,1714,A00–B99,Algumas doenças infecciosas e parasitárias
